PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_07255	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07256	8	2	2	2	0	0	2	0	0	0	0	0
IUM83_07257	987	408	489	5	23	1	599	501	148	968	1435	855
IUM83_07258	152	183	167	0	0	0	2	10	0	11	10	4
IUM83_07259	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07260	232	181	239	3	3	1	18	13	14	28	45	28
IUM83_07261	114	67	66	1	0	0	8	13	2	14	19	10
IUM83_07262	674	688	474	7	11	1	97	62	25	163	233	229
IUM83_07263	58	31	42	2	1	1	2	2	1	3	5	6
IUM83_07264	518	489	411	1	6	1	39	59	13	70	149	85
IUM83_07265	2394	2122	2402	91	114	51	661	530	290	672	1112	872
IUM83_07266	115	133	128	2	1	1	29	20	7	35	72	76
IUM83_07267	59	65	75	0	0	0	2	2	1	1	6	5
IUM83_07268	112	146	110	2	1	1	8	5	3	13	13	12
IUM83_07269	42	45	39	0	0	0	0	1	0	1	5	3
IUM83_07270	18	21	15	0	0	0	0	0	2	10	4	1
IUM83_07271	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07272	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07273	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07274	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07275	0	0	0	0	0	0	0	0	0	0	4	0
IUM83_07276	183	191	206	2	1	0	15	12	5	73	80	73
IUM83_07277	431	423	481	15	30	8	152	100	40	113	202	159
IUM83_07278	42	31	37	7	2	5	19	22	10	12	36	13
IUM83_07279	5248	5666	8115	4	3	0	46	123	25	1477	3859	4088
IUM83_07280	3350	2787	3835	159	236	75	921	689	467	779	1209	1042
IUM83_07281	168	138	173	0	1	0	4	6	3	12	39	10
IUM83_07282	516	310	508	12	17	2	97	84	38	87	198	137
IUM83_07283	37	32	21	0	0	0	0	2	0	0	10	2
IUM83_07284	1	0	0	0	1	0	0	0	1	0	0	3
IUM83_07285	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07286	2	0	2	0	0	0	0	0	0	0	0	0
IUM83_07287	17	16	19	1	6	0	4	1	11	4	3	5
IUM83_07288	24	16	16	0	0	0	6	7	1	1	9	7
IUM83_07289	0	0	2	0	0	0	0	0	0	0	0	0
IUM83_07290	0	0	0	0	0	0	4	0	0	0	0	0
IUM83_07291	0	1	1	0	0	0	0	0	0	2	1	0
IUM83_07292	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_07293	0	5	0	0	0	1	0	0	0	0	1	0
IUM83_07294	6	7	5	0	0	0	0	0	0	0	0	1
IUM83_07295	2	0	0	0	0	0	0	0	0	0	0	0
IUM83_07296	110	86	70	4	7	4	25	31	22	34	35	26
IUM83_07297	42	23	52	0	0	0	0	0	0	1	1	2
IUM83_07298	138	63	124	0	0	0	0	0	0	0	0	0
IUM83_07299	11	7	9	0	0	0	0	2	0	4	1	0
IUM83_07300	158	94	119	0	2	0	3	4	8	22	37	30
IUM83_07301	7	1	3	0	0	0	0	0	0	0	0	0
IUM83_07302	0	0	1	0	0	0	0	0	0	0	0	0
IUM83_07303	294	212	292	6	10	2	52	25	12	42	67	45
IUM83_07304	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07305	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07306	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07307	92	52	35	0	0	0	5	4	4	17	62	11
IUM83_07308	38	21	38	1	0	0	5	7	2	15	39	5
IUM83_07309	1593	1358	1526	92	142	32	714	482	275	462	729	629
IUM83_07310	194	164	184	1	0	0	6	10	1	24	37	30
IUM83_07311	3289	2877	3612	46	78	26	400	345	202	384	661	424
IUM83_07312	239	242	248	5	1	0	23	21	5	16	20	17
IUM83_07313	713	635	734	28	37	12	117	139	54	157	272	122
IUM83_07314	1484	1253	1575	103	101	58	676	491	252	566	824	693
IUM83_07315	0	1	0	0	0	0	0	0	0	0	0	0
IUM83_07316	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07317	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07318	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07319	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07320	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07321	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07322	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07323	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07324	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07325	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07326	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07327	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07328	4405	3570	4281	36	68	12	446	446	177	927	1353	868
IUM83_07329	379	350	415	0	2	0	10	15	7	15	37	32
IUM83_07330	1951	1404	1814	16	22	10	214	192	75	303	397	385
IUM83_07331	32	37	31	0	0	0	0	1	2	8	7	7
IUM83_07332	2492	2050	2345	17	33	5	178	193	67	337	425	317
IUM83_07333	1713	1450	1524	12	15	3	64	64	34	198	237	153
IUM83_07334	27	42	16	0	0	0	1	1	1	8	6	1
IUM83_07335	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07336	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07337	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07338	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07339	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07340	4802	3991	4606	130	194	52	1407	1073	505	1038	1735	1399
IUM83_07341	1283	1134	1360	24	37	2	197	133	59	165	249	247
IUM83_07342	892	669	749	22	28	14	138	115	77	138	152	160
IUM83_07343	76191	69427	84127	1522	2542	738	12466	10332	5125	13838	24316	21893
IUM83_07344	1259	1031	1470	0	0	1	16	18	6	101	198	241
IUM83_07345	595	642	603	0	3	0	8	38	16	67	95	104
IUM83_07346	1514	1472	1470	49	51	11	302	238	130	320	451	405
IUM83_07347	959	730	822	8	16	4	84	73	39	139	154	146
IUM83_07348	5472	4374	4477	65	64	18	647	683	273	1236	1432	1340
IUM83_07349	509	543	439	10	13	7	64	39	23	86	73	74
IUM83_07350	4943	6059	5540	1	3	0	20	29	8	297	712	712
IUM83_07351	1266	1090	1412	52	66	15	243	237	102	295	347	291
IUM83_07352	7761	6935	8073	60	82	33	489	612	249	1059	1478	1122
IUM83_07353	15169	11808	10646	30	65	16	324	375	177	1516	1858	996
IUM83_07354	5106	4417	5230	96	116	41	605	489	249	667	1055	840
IUM83_07355	2024	1683	2069	14	41	14	299	231	106	261	387	322
IUM83_07356	603	524	581	6	17	1	55	51	31	60	110	73
IUM83_07357	4230	3246	3974	21	31	8	133	198	70	591	679	452
IUM83_07358	7123	6291	7221	114	144	46	912	791	384	1211	1827	1391
IUM83_07359	3705	2087	2644	10	12	4	205	162	53	318	627	492
IUM83_07360	3702	3432	3920	85	148	61	521	460	199	515	849	685
IUM83_07361	1541	1239	1483	3	4	0	75	102	34	258	496	439
IUM83_07362	2575	2003	2229	63	111	24	698	619	241	1255	1421	1019
IUM83_07363	22	16	38	0	0	0	2	0	0	4	5	5
IUM83_07364	2057	1518	1665	11	28	8	127	153	65	211	312	262
IUM83_07365	3882	3027	3565	5	6	2	77	120	26	888	1190	431
IUM83_07366	0	0	1	0	0	0	0	0	0	0	0	0
IUM83_07367	1	3	4	0	0	0	0	0	0	0	0	0
IUM83_07368	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07369	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07370	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07371	3	0	3	0	0	0	0	0	0	0	0	0
IUM83_07372	4558	4276	4665	6	7	3	81	81	32	291	509	438
IUM83_07373	208	197	191	3	0	0	15	14	11	32	28	22
IUM83_07374	413	350	412	2	7	2	47	38	10	93	119	77
IUM83_07375	8908	8453	6581	0	0	0	1	10	1	163	236	462
IUM83_07376	12393	10310	11555	79	112	25	1012	1229	415	2210	2999	2265
IUM83_07377	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07378	363	269	259	1	1	0	10	8	0	8	19	13
IUM83_07379	581	637	737	0	0	0	0	1	0	33	42	60
IUM83_07380	733	764	730	19	37	13	149	106	63	160	261	299
IUM83_07381	17736	15982	13802	33	47	15	425	513	198	1729	2802	1550
IUM83_07382	1414	1347	1452	0	0	0	3	2	0	36	59	34
IUM83_07383	2544	2059	2703	13	21	6	232	261	94	983	1357	668
IUM83_07384	1181	929	1074	3	9	0	39	59	17	154	327	184
IUM83_07385	6551	5388	6572	84	124	40	746	729	309	1024	1466	1050
IUM83_07386	1824	1673	2187	23	41	16	150	127	57	266	351	279
IUM83_07387	806	594	625	6	4	1	54	46	18	64	104	59
IUM83_07388	1186	1031	1461	23	30	12	148	147	53	210	250	204
IUM83_07389	396	327	347	0	0	0	0	0	1	13	35	26
IUM83_07390	1521	1469	1582	19	18	10	132	99	57	237	355	303
IUM83_07391	1754	1559	2273	0	0	0	21	31	6	184	355	316
IUM83_07392	1167	643	1106	9	9	1	49	89	23	396	426	393
IUM83_07393	341	245	563	1	0	1	14	28	4	127	149	105
IUM83_07394	1922	1693	1876	11	18	3	195	202	92	537	689	472
IUM83_07395	435	354	337	0	1	1	7	5	8	8	17	14
IUM83_07396	784	732	848	2	7	1	43	67	19	108	165	202
IUM83_07397	184	142	177	1	1	0	6	6	3	11	27	24
IUM83_07398	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07399	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07400	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07401	644	508	785	6	10	3	117	84	42	159	272	144
IUM83_07402	16	24	25	0	0	0	0	0	0	1	2	2
IUM83_07403	244	136	147	21	24	7	311	226	76	360	355	314
IUM83_07404	59	50	53	0	0	0	6	6	2	9	11	5
IUM83_07405	14851	12101	12995	30	29	11	321	401	124	1228	1782	1428
IUM83_07406	1132	924	1016	1	3	0	16	28	3	48	59	88
IUM83_07407	2713	2021	2207	25	32	7	742	623	284	2352	2440	2088
IUM83_07408	319	317	344	2	3	2	32	38	17	72	73	62
IUM83_07409	813	718	750	2	0	0	43	31	19	115	132	99
IUM83_07410	4921	4591	5290	32	29	8	258	366	127	607	888	667
IUM83_07411	8310	7600	9516	39	79	33	688	787	287	1274	2013	1594
IUM83_07412	6	4	0	3	1	3	35	47	19	24	38	35
IUM83_07413	127	161	106	1	0	0	17	14	6	28	59	22
IUM83_07414	87	63	40	0	0	0	8	22	5	10	47	35
IUM83_07415	113	69	111	0	1	0	29	19	3	19	47	24
IUM83_07416	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07417	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07418	0	0	0	0	0	0	0	0	0	0	0	1
IUM83_07419	2158	1936	2209	75	138	32	539	382	236	380	609	526
IUM83_07420	359	526	517	8	5	1	11	19	2	27	83	96
IUM83_07421	1569	1259	1357	8	19	10	147	158	66	238	316	324
IUM83_07422	15078	13624	13588	64	106	34	998	957	326	2603	3949	2747
IUM83_07423	2912	1775	2464	1	4	0	9	13	4	70	170	63
IUM83_07424	992	910	1075	22	27	13	90	92	51	75	182	121
IUM83_07425	13147	13483	12261	53	65	14	994	976	312	1483	2929	1953
IUM83_07426	82	96	205	0	0	0	0	0	0	0	1	2
IUM83_07427	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07428	44	55	37	0	0	0	1	3	1	2	9	3
IUM83_07429	14	0	4	0	0	0	0	0	0	0	2	0
IUM83_07430	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07431	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07432	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07433	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07434	0	1	0	0	0	0	0	0	0	3	0	1
IUM83_07435	298	244	355	8	10	6	353	565	98	1136	1854	1147
IUM83_07436	2292	1732	2058	17	26	3	142	121	57	305	339	288
IUM83_07437	0	2	4	0	0	0	0	6	0	0	0	0
IUM83_07438	968	644	697	0	0	0	12	2	2	13	61	38
IUM83_07439	2369	2159	2134	3	2	6	27	18	8	127	188	110
IUM83_07440	1622	1479	1537	1	3	0	46	75	17	186	314	159
IUM83_07441	3764	3458	3196	13	23	6	189	135	76	365	498	513
IUM83_07442	12749	10223	8053	49	49	11	725	529	201	698	921	948
IUM83_07443	1008	672	889	14	28	8	161	121	70	156	249	219
IUM83_07444	1598	1092	956	24	42	8	298	290	104	283	378	392
IUM83_07445	0	1	1	0	0	0	0	0	0	0	0	0
IUM83_07446	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07447	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07448	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07449	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07450	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07451	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07452	873	443	661	8	9	5	48	25	16	37	60	72
IUM83_07453	45	48	58	0	0	0	0	0	0	4	0	3
IUM83_07454	3760	3385	3382	0	0	0	0	0	0	139	323	139
IUM83_07455	1625	1274	1437	1	7	2	38	47	6	163	244	197
IUM83_07456	784	742	825	1	1	3	13	11	8	77	105	85
IUM83_07457	34223	32460	45565	2914	4510	1484	17715	14047	7343	14603	22970	17773
IUM83_07458	648	574	691	15	21	6	142	111	36	157	193	167
IUM83_07459	943	707	831	1	2	0	64	51	20	40	90	61
IUM83_07460	974	865	1131	5	9	3	182	205	52	408	766	569
IUM83_07461	15	18	26	0	0	0	0	0	0	1	3	4
IUM83_07462	66	45	41	0	0	0	0	5	1	7	2	6
IUM83_07463	19	19	24	0	0	0	2	0	1	3	1	2
IUM83_07464	155	202	183	1	0	0	2	3	3	2	9	4
IUM83_07465	2557	2135	2568	35	51	7	277	237	103	349	553	415
IUM83_07466	381	286	444	0	0	0	1	4	0	38	21	31
IUM83_07467	916	816	910	4	2	0	62	40	17	79	134	107
IUM83_07468	3862	4116	3368	22	59	15	292	355	128	1281	1302	803
IUM83_07469	3591	3396	4018	36	45	24	323	277	111	482	768	655
IUM83_07470	3326	2961	2982	75	82	28	657	598	221	937	1401	1236
IUM83_07471	3138	2450	3189	74	98	27	579	517	238	641	980	828
IUM83_07472	188	199	211	0	0	0	0	0	0	12	52	72
IUM83_07473	101	62	62	0	0	0	1	1	0	1	6	1
IUM83_07474	4519	4291	3929	2	1	0	118	215	28	326	793	558
IUM83_07475	2524	2311	2051	26	44	17	291	269	106	291	504	461
IUM83_07476	279	274	423	4	0	0	15	7	6	38	94	131
IUM83_07477	17	15	25	4	3	1	15	10	5	9	33	25
IUM83_07478	0	1	0	0	0	0	0	1	0	0	0	1
IUM83_07479	99	88	86	6	5	4	57	48	17	121	181	98
IUM83_07480	5514	3981	3984	30	25	10	356	341	157	1037	1610	1354
IUM83_07481	739	660	789	0	1	0	0	0	0	31	103	145
IUM83_07482	1547	1302	1554	3	4	3	58	88	26	139	242	256
IUM83_07483	16	15	20	17	23	24	32	16	18	57	82	108
IUM83_07484	257	290	214	29	55	9	232	166	99	99	210	171
IUM83_07485	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07486	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07487	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07488	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07489	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07490	2	5	0	0	0	0	0	0	0	0	0	0
IUM83_07491	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07492	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07493	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07494	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07495	4	2	2	0	0	0	0	0	0	0	0	0
IUM83_07496	8	1	0	0	0	0	0	0	0	0	4	1
IUM83_07497	959	767	955	1	1	0	22	23	5	68	112	142
IUM83_07498	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07499	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07500	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07501	18	23	36	0	0	0	0	0	0	0	1	4
IUM83_07502	1976	1538	1776	0	4	0	17	28	8	132	228	224
IUM83_07503	388	454	401	5	7	0	25	43	10	70	84	48
IUM83_07504	1734	1483	1540	45	78	19	282	205	105	326	463	343
IUM83_07505	5	7	3	0	0	0	0	0	0	0	1	2
IUM83_07506	0	1	1	0	0	0	0	0	0	0	0	0
IUM83_07507	384	359	280	3	8	2	57	39	24	64	58	58
IUM83_07508	1736	1588	1831	7	11	3	80	107	26	158	241	174
IUM83_07509	89	40	80	0	0	0	2	2	0	4	11	14
IUM83_07510	1	1	0	0	0	0	0	0	0	0	0	0
IUM83_07511	685	387	508	2	3	0	84	59	22	109	133	137
IUM83_07512	0	0	0	0	0	0	0	0	0	0	3	0
IUM83_07513	4	0	1	0	0	0	2	0	0	1	17	8
IUM83_07514	1672	1533	1943	33	43	12	263	189	96	279	501	481
IUM83_07515	939	737	875	2	3	2	52	51	19	140	223	180
IUM83_07516	1	3	1	0	0	0	0	0	0	0	2	0
IUM83_07517	1676	1570	1532	14	11	5	124	140	76	259	356	277
IUM83_07518	5517	4911	4137	16	26	5	229	317	113	768	940	697
IUM83_07519	1037	1552	864	4	9	4	88	111	29	462	432	328
IUM83_07520	1071	1025	925	4	5	1	44	50	24	141	178	166
IUM83_07521	33	35	30	5	12	0	25	18	6	13	12	29
IUM83_07522	244	169	177	0	0	0	2	0	0	3	1	2
IUM83_07523	1173	1117	1232	11	6	2	73	66	28	170	230	169
IUM83_07524	816	710	707	20	28	15	230	207	115	241	405	309
IUM83_07525	1	1	2	0	0	0	0	0	0	0	0	0
IUM83_07526	88	77	72	0	2	0	3	2	0	3	6	4
IUM83_07527	1500	1093	1316	7	17	13	114	87	42	133	211	172
IUM83_07528	148	121	144	17	9	4	68	81	39	128	146	90
IUM83_07529	47	41	34	0	1	0	0	2	0	5	9	1
IUM83_07530	36	27	27	0	0	0	4	1	0	0	0	4
IUM83_07531	12	13	5	0	0	0	0	0	0	0	3	0
IUM83_07532	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07533	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07534	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07535	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07536	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07537	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07538	30	20	33	2	7	0	25	13	15	31	30	36
IUM83_07539	20	21	15	1	0	0	2	2	0	0	0	1
IUM83_07540	5	2	9	0	0	0	0	0	0	0	0	0
IUM83_07541	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07542	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07543	294	226	321	1	4	0	8	9	9	21	26	20
IUM83_07544	183	108	163	2	0	0	2	1	1	2	4	0
IUM83_07545	260	169	233	2	1	1	2	4	2	7	14	0
IUM83_07546	2	0	3	0	0	0	0	0	0	4	2	0
IUM83_07547	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07548	537	503	543	3	6	0	41	29	4	67	91	65
IUM83_07549	555	551	624	13	17	9	97	102	66	138	278	250
IUM83_07550	970	795	765	33	41	22	212	136	89	194	299	228
IUM83_07551	208	145	193	0	0	1	16	9	6	63	112	62
IUM83_07552	5	0	0	0	0	0	0	0	0	0	0	0
IUM83_07553	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07554	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07555	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07556	4	1	0	0	0	0	0	0	0	0	0	0
IUM83_07557	452	475	374	2	5	0	31	42	12	84	96	75
IUM83_07558	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07559	4	3	0	0	0	0	0	0	0	0	0	0
IUM83_07560	32	62	46	0	0	0	3	2	2	24	14	17
IUM83_07561	3	1	0	0	0	0	1	0	0	0	0	1
IUM83_07562	5	8	12	0	3	1	9	7	4	7	1	6
IUM83_07563	0	0	0	0	0	0	1	0	0	0	1	0
IUM83_07564	2	3	1	0	0	0	0	1	0	0	2	2
IUM83_07565	11	13	20	0	0	0	0	0	0	0	0	0
IUM83_07566	135	111	121	7	25	10	83	51	38	52	91	56
IUM83_07567	103	81	92	0	0	0	8	3	8	22	53	51
IUM83_07568	2	2	2	0	0	0	0	0	0	0	0	0
IUM83_07569	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_07570	777	597	798	15	14	5	92	98	44	104	155	126
IUM83_07571	116	99	118	4	5	5	11	18	16	33	43	30
IUM83_07572	7307	6041	7763	18	21	2	198	335	107	892	1592	1414
IUM83_07573	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07574	1577	1321	1918	29	41	16	296	240	118	419	943	767
IUM83_07575	452	435	543	0	1	1	7	22	3	45	86	105
IUM83_07576	98	61	53	3	3	0	22	19	9	10	24	14
IUM83_07577	4	12	3	0	0	0	18	66	4	109	167	66
IUM83_07578	6	2	11	0	0	0	28	8	3	24	17	11
IUM83_07579	106	129	185	2	14	5	21	27	12	30	59	36
IUM83_07580	0	4	0	0	0	0	0	0	0	0	0	0
IUM83_07581	221	242	185	1	4	1	9	12	7	34	70	39
IUM83_07582	282	213	262	1	1	0	29	25	12	48	61	24
IUM83_07583	3448	2564	2265	6	2	9	407	255	89	1148	1807	985
IUM83_07584	842	590	631	2	1	0	100	73	15	226	476	242
IUM83_07585	107	79	108	1	1	2	9	7	0	13	26	32
IUM83_07586	663	500	618	5	16	5	40	35	33	46	103	93
IUM83_07587	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07588	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07589	1115	961	1324	62	100	24	346	257	164	278	436	316
IUM83_07590	166	162	174	8	18	1	84	64	28	51	58	44
IUM83_07591	3	6	6	0	0	0	0	0	0	0	0	0
IUM83_07592	910	795	711	0	5	1	25	60	19	134	233	145
IUM83_07593	342	278	295	0	1	0	1	4	3	19	17	15
IUM83_07594	773	711	753	39	62	36	375	260	170	264	422	387
IUM83_07595	29	21	27	0	0	0	5	10	6	6	13	10
IUM83_07596	2	0	0	0	0	0	0	0	0	0	0	0
IUM83_07597	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07598	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07599	2489	3128	2089	0	9	0	91	232	36	561	792	471
IUM83_07600	70	64	53	0	0	0	1	6	1	10	10	13
IUM83_07601	1	1	1	0	0	0	0	0	0	0	0	0
IUM83_07602	104	73	59	0	2	1	3	3	0	2	3	1
IUM83_07603	990	791	920	27	45	14	180	217	85	218	333	284
IUM83_07604	4	9	13	0	1	0	0	0	1	0	4	1
IUM83_07605	177	230	143	0	0	0	9	2	4	22	19	26
IUM83_07606	314	206	269	9	13	1	45	26	20	33	65	50
IUM83_07607	0	0	0	0	0	0	0	0	0	4	0	0
IUM83_07608	447	358	450	0	0	0	12	17	10	83	104	102
IUM83_07609	1093	774	1119	1	2	0	27	30	3	62	102	105
IUM83_07610	90	80	86	0	0	0	0	1	0	1	1	7
IUM83_07611	18	12	14	0	0	0	0	0	0	0	2	0
IUM83_07612	2	4	2	0	0	0	0	0	0	0	0	1
IUM83_07613	205	212	144	2	5	1	19	15	1	22	42	38
IUM83_07614	161	193	180	11	14	4	68	60	27	24	65	51
IUM83_07615	297	302	263	10	11	6	77	55	25	107	145	139
IUM83_07616	404	333	298	10	4	1	51	52	18	80	105	88
IUM83_07617	100	125	82	30	34	6	291	174	103	446	416	400
IUM83_07618	5	3	8	0	0	0	0	0	0	10	12	7
IUM83_07619	525	550	712	21	45	9	452	367	151	427	750	518
IUM83_07620	180	189	187	6	7	0	21	18	15	38	38	42
IUM83_07621	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07622	0	0	0	0	0	0	0	0	0	0	2	0
IUM83_07623	1212	819	1155	0	2	0	5	2	0	6	14	15
IUM83_07624	182	146	197	0	0	0	0	0	0	4	1	6
IUM83_07625	695	626	721	6	6	0	48	16	10	56	118	85
IUM83_07626	5855	4795	4763	5	11	2	81	166	30	490	760	687
IUM83_07627	1338	1183	1427	9	16	6	131	105	47	221	288	242
IUM83_07628	869	800	938	0	1	0	1	1	1	48	78	88
IUM83_07629	468	400	446	0	0	0	0	1	0	27	33	26
IUM83_07630	385	316	370	30	40	13	120	60	53	50	76	93
IUM83_07631	112	63	118	2	4	2	275	496	115	1215	1562	852
IUM83_07632	1709	1190	1518	15	30	5	143	159	64	281	431	272
IUM83_07633	33	24	36	0	0	0	1	0	0	0	3	2
IUM83_07634	404	279	343	4	15	4	133	87	48	92	143	93
IUM83_07635	3	2	2	0	0	0	0	4	0	3	1	1
IUM83_07636	28898	25218	30724	1301	1920	576	10103	8898	4243	7075	12149	11481
IUM83_07637	27	30	85	0	0	0	2	0	1	2	1	3
IUM83_07638	10690	9018	10445	4	10	2	139	321	89	1169	1643	1251
IUM83_07639	2064	1743	1791	34	40	13	249	213	92	397	549	374
IUM83_07640	1306	1094	1535	148	263	72	995	626	392	538	715	705
IUM83_07641	23849	20318	22054	134	270	97	2353	1963	778	3187	5982	5575
IUM83_07642	543	616	570	2	17	8	81	101	38	295	329	180
IUM83_07643	2605	3336	4485	0	1	2	10	14	3	17	15	19
IUM83_07644	1115	2841	817	18	31	1	283	299	82	247	480	153
IUM83_07645	334	234	261	2	1	0	15	13	5	23	35	13
IUM83_07646	199	185	171	1	3	3	7	11	2	11	13	22
IUM83_07647	140	178	181	1	0	0	5	10	3	25	26	32
IUM83_07648	4447	3741	3537	20	51	12	305	319	93	1341	1447	823
IUM83_07649	20826	19898	19695	452	734	210	5147	4363	1768	4716	8136	7531
IUM83_07650	1293	1183	1286	7	7	4	63	87	33	175	247	171
IUM83_07651	6705	5190	6248	26	33	13	481	585	166	1278	1754	1580
IUM83_07652	1072	838	1021	2	7	1	55	65	30	152	211	130
IUM83_07653	1104	714	1139	18	11	2	57	82	31	81	122	86
IUM83_07654	626	534	557	97	161	49	453	265	149	246	283	172
IUM83_07655	50	32	50	0	0	0	0	0	0	0	1	1
IUM83_07656	3477	3265	3434	22	28	7	165	220	74	402	611	478
IUM83_07657	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07658	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07659	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_07660	1	0	1	0	0	0	0	0	0	0	0	2
IUM83_07661	289	204	231	2	7	3	13	14	9	30	56	43
IUM83_07662	1937	1519	1882	14	14	5	199	193	72	325	528	541
IUM83_07663	164	122	112	0	1	0	1	1	5	5	17	17
IUM83_07664	20231	17165	23988	173	230	80	2016	1897	692	1848	3898	4823
IUM83_07665	534	350	496	2	1	3	4	13	4	16	30	19
IUM83_07666	4978	4232	4298	70	101	30	668	591	280	923	1443	1180
IUM83_07667	191	124	103	0	0	0	0	0	0	1	11	11
IUM83_07668	41329	26943	37965	170	309	88	1844	1550	565	3289	5185	4120
IUM83_07669	5452	4423	3619	84	134	48	484	371	194	492	677	467
IUM83_07670	2273	2020	2052	1	1	0	9	14	5	56	140	65
IUM83_07671	1414	1313	2050	84	124	33	733	587	281	499	879	757
IUM83_07672	698	611	789	1	11	5	55	66	24	146	236	154
IUM83_07673	215	254	187	1	1	1	21	14	7	27	52	40
IUM83_07674	2493	1985	2327	17	14	7	77	100	35	416	498	332
